Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,❌,🔌
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,☕☕,💪💪💪,🔌🔌🔌
Miguel's,http:ssdlkfjsjk.com,9AM,9PM,☕️☕️☕️,💪💪💪💪,🔌

Velma's Cafe,"https://www.google.com/maps?opi=89978449&lqi=CgxjYWZlIG5lYXIgbWUiA5ABAUju9-2bjKuAgAhaHBAAGAAYARgCIgxjYWZlIG5lYXIgbWUqBAgDEACSARJtZXhpY2FuX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBYMkV0ZGw5blJSQUKqAT4QASoIIgRjYWZlKAAyHhABIhraUQGOJvpjBcbNIn2cubzOgzKfUvf4T1F3dDIQEAIiDGNhZmUgbmVhciBtZeABAA&phdesc=pNCn5Okftvs&vet=12ahUKEwia1NGenfj_AhWsIUQIHby5BQEQ1YkKegQIJRAB..i&cs=1&um=1&ie=UTF-8&fb=1&gl=us&sa=X&geocode=KRkrzacCzcKAMYGgcXBEgAUo&daddr=13215+Paramount+Blvd,+South+Gate,+CA+90280",8AM,3PM,☕️☕️️☕️☕️,💪💪💪,❌

7 Leaves Cafe,"https://www.google.com/maps?opi=89978449&lqi=CgxjYWZlIG5lYXIgbWUiA5ABAUjB_LGmj6-AgAhaGBAAGAAiDGNhZmUgbmVhciBtZSoECAMQAJIBBGNhZmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlkRmxsVG5wQlJSQUKqAT4QASoIIgRjYWZlKAAyHhABIhraUQGOJvpjBcbNIn2cubzOgzKfUvf4T1F3dDIQEAIiDGNhZmUgbmVhciBtZeABAA&phdesc=yegmDrQW2-E&vet=12ahUKEwia1NGenfj_AhWsIUQIHby5BQEQ1YkKegQIJBAB..i&cs=1&um=1&ie=UTF-8&fb=1&gl=us&sa=X&geocode=KYmOwnyxzcKAMYBfqhkgOTi9&daddr=8901+Apollo+Way+%234A,+Downey,+CA+90242",7AM,11PM,☕️☕️☕️☕️☕️,💪💪💪💪,🔌🔌🔌

Mimi's,"https://www.google.com/maps/dir//8455+Firestone+Blvd,+Downey,+CA+90240/@33.9386372,-118.1998551,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x80c2cd996fda0f6d:0x18ccb9665eb663d1!2m2!1d-118.129815!2d33.938657?entry=ttu",8AM,9AM,☕️☕️️☕️☕️,💪💪💪,🔌
